North America,777.88961,800.07851,779.75642,829.61597,NA
Bermuda,0,0,0,0,0
Canada,370.155,362.4975,377.9452,390.367,374.4776
Greenland,0,0,0,0,0
Mexico,37.2629,38.8347,36.8326,46.5133,33.8807
Saint Pierre and Miquelon,0,0,0,0,0
United States,370.47171,398.74631,364.97862,392.73567,424.3243
Central & South America,634.85721,663.78842,689.83591,696.23329,NA
Antarctica,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0
Argentina,34.97228,38.95529,31.67011,31.54644,NA
Aruba,0,0,0,0,NA
"Bahamas, The",0,0,0,0,0
Barbados,0,0,0,0,NA
Belize,0.06858,0.17773,0.1774,0.20445,NA
Bolivia,2.1264,2.29968,2.45291,2.4347,NA
Brazil,348.3269,360.1406,387.7673,385.2266,409.80576
Cayman Islands,0,0,0,0,0
Chile,27.5971,29.8561,25.1257,26.608,NA
Colombia,39.9793,40.5148,42.0107,43.6968,NA
Costa Rica,7.8462,8.0209,8.182,8.6535,NA
Cuba,0.627,0.5245,0.43719,0.5074,NA
Dominica,0.028,0.03,0.03,0.032,NA
Dominican Republic,1.9045,1.7695,1.7691,1.7385,NA
Ecuador,6.852,7.5739,9.669,11.5811,NA
El Salvador,2.67645,3.0573,3.1223,3.5608,NA
Falkland Islands (Islas Malvinas),0,0,0,0,0
French Guiana,0,0,0,0,0
Grenada,0,0,0,0,0
Guadeloupe,0,0,0,0,0
Guatemala,4.0792,4.7488,4.8943,5.1494,NA
Guyana,0,0,0,0,NA
Haiti,0.262,0.268,0.152,0.179,NA
Honduras,1.8378,2.1839,2.3516,2.4551,NA
Jamaica,0.2965,0.3169,0.309,0.3042,NA
Martinique,0,0,0,0,0
Montserrat,0,0,0,0,0
Netherlands Antilles,0,0,0,0,0
Nicaragua,0.83892,0.72986,0.89342,1.15647,NA
Panama,3.7088,3.563,3.648,3.9511,NA
Paraguay,50.654,53.246,53.188,54.909,NA
Peru,18.2419,19.8633,19.7825,19.3232,NA
Puerto Rico,0.13828,0.142,0.164,0.156,NA
Saint Kitts and Nevis,0,0,0,0,0
Saint Lucia,0,0,0,0,0
Saint Vincent/Grenadines,0.026,0.02296,0.02249,0.02344,NA
Suriname,0.821,0.862,0.862,0.875,NA
Trinidad and Tobago,0.0209,0.0247,0.0076,0.0095,NA
Turks and Caicos Islands,0,0,0,0,0
Uruguay,6.6522,3.6047,8.1153,5.2466,NA
Venezuela,74.275,81.292,83.032,86.705,85.839
"Virgin Islands,  U.S.",0,0,0,0,0
"Virgin Islands, British",0,0,0,0,0
Europe,700.4681,715.39214,755.10473,805.64993,NA
Albania,5.319,4.951,2.76,3.759,NA
Austria,40.1768,39.4507,42.7716,44.2749,46.5158
Belgium,2.6691,3.6543,4.316,5.2263,5.9929
Bosnia and Herzegovina,5.938,5.798,3.961,4.506,NA
Bulgaria,4.3148,4.2216,2.8954,2.9271,NA
Croatia,6.2925,5.9685,4.2349,5.2219,NA
Cyprus,0.001,0.001,0.0029,0.0132,NA
Czech Republic,3.077,3.4533,3.3306,3.6353,4.4753
Denmark,10.1877,9.5249,10.5151,10.3334,10.1592
Faroe Islands,0.098,0.09994,0.10343,0.09493,NA
Finland,22.9911,22.0664,24.4511,27.4149,21.442
Former Czechoslovakia,--,--,--,--,--
Former Serbia and Montenegro,11.912,--,--,--,--
Former Yugoslavia,--,--,--,--,--
France,57.4268,62.8931,67.1854,74.6173,70.0275
Germany,62.23,71.2838,88.963,91.2524,97.3986
"Germany, East",--,--,--,--,--
"Germany, West",--,--,--,--,--
Gibraltar,0,0,0,0,0
Greece,6.381,7.5531,4.4916,5.6131,6.7844
Hungary,1.853,1.5511,1.9361,2.3562,2.8643
Iceland,8.5281,9.7214,11.712,16.1401,16.4823
Ireland,1.8049,2.3805,2.6455,3.4015,3.8722
Italy,49.9242,52.1125,49.2231,59.3982,66.9909
Luxembourg,0.2354,0.2705,0.2855,0.3115,0.2899
Macedonia,1.477,1.634,1,0.832,NA
Malta,0,0,0,0,0
Montenegro,--,1.745,1.64,1.53,NA
Netherlands,8.5287,9.1807,8.8594,10.6355,11.917
Norway,135.1991,119.2314,133.6461,139.4993,126.1753
Poland,4.1152,4.5376,5.5694,6.4734,8.3994
Portugal,8.3263,15.6667,16.0823,14.4535,17.9285
Romania,20.012,18.1758,15.8421,17.0505,NA
Serbia,--,10.855,9.937,9.468,NA
Slovakia,4.6699,4.81,4.9351,4.5519,4.93
Slovenia,3.521,3.6472,3.3271,4.2374,NA
Spain,41.3081,51.395,57.3943,60.4336,70.8972
Sweden,80.9052,70.9327,76.9815,80.9418,78.1595
Switzerland,32.9328,32.8986,37.1323,38.0045,37.6796
Turkey,39.3929,44.1886,36.3697,34.7542,38.5828
United Kingdom,18.7195,19.5382,20.6042,22.2871,25.3158
Eurasia,248.33679,248.56,247.48948,237.47523,NA
Armenia,1.755,1.807,1.83678,1.78093,NA
Azerbaijan,2.979,2.493,2.34,2.21,2.285
Belarus,0.0645,0.1243,0.1196,0.117,NA
Estonia,0.1063,0.1242,0.1387,0.1885,NA
Former U.S.S.R.,--,--,--,--,--
Georgia,6.174,5.262,6.75,7.09,NA
Kazakhstan,7.777,7.69,8.089,7.385,7.496
Kyrgyzstan,14.116,14.738,13.809,10.633,NA
Latvia,3.3766,2.7546,2.7962,3.1758,NA
Lithuania,0.45509,0.4291,0.568,0.5879,NA
Moldova,0.062,0.076,0.033,0.081,NA
Russia,173.8522,174.6665,177.6424,165.9783,165.1168
Tajikistan,16.797,16.534,16.943,15.688,NA
Turkmenistan,0.003,0.003,0.003,0.003,NA
Ukraine,12.2751,12.7903,10.0848,11.3108,NA
Uzbekistan,8.544,9.068,6.336,11.246,9.237
Middle East,21.0144,23.4002,22.5952,8.964,NA
Bahrain,0,0,0,0,0
Iran,16.0065,18.2018,17.9429,4.8912,NA
Iraq,0.459,0.481,0.501,0.555,NA
Israel,0.0384,0.0169,0.015,0.2335,NA
